iter	Logloss
0	0.5389169386
1	0.4082241344
2	0.3347896522
3	0.2769489964
4	0.2418009267
5	0.2098010396
6	0.1760933207
7	0.1670493314
8	0.1493494304
9	0.136741237
10	0.1202041703
11	0.1111152063
12	0.1032508005
13	0.09591247478
14	0.09178985836
15	0.08667992828
16	0.08336977223
17	0.07890055426
18	0.07594892658
19	0.07277023234
20	0.06962820741
21	0.06544816137
22	0.06251822809
23	0.05966069123
24	0.05732857097
25	0.05579799052
26	0.05415311319
27	0.05113004599
28	0.04900856564
29	0.04687496091
30	0.04451198433
31	0.0422063282
32	0.04037360322
33	0.0392256811
34	0.03763479161
35	0.03571807542
36	0.03450218106
37	0.03370856198
38	0.03245717897
39	0.03153629706
40	0.03030317319
41	0.02940015893
42	0.02831520056
43	0.02751801592
44	0.02657185632
45	0.02572145878
46	0.02457180036
47	0.02397597329
48	0.02303755231
49	0.02222768911
50	0.02128187551
51	0.02040247445
52	0.01935226974
53	0.01875979223
54	0.01831077245
55	0.01774474272
56	0.01728290395
57	0.01654148172
58	0.01621526928
59	0.01553240819
60	0.01522835342
61	0.0148729434
62	0.01452218234
63	0.01406754038
64	0.01352545341
65	0.01327352124
66	0.0129257968
67	0.01262437163
68	0.01245604353
69	0.01201303321
70	0.01171471872
71	0.01157148818
72	0.01130342551
73	0.01116488503
74	0.01074321383
75	0.01043001558
76	0.01012029779
77	0.009796249021
78	0.009588138719
79	0.009140223493
80	0.008922740109
81	0.008738093038
82	0.008530234141
83	0.008376920915
84	0.008162452063
85	0.008080822594
86	0.007942544024
87	0.007800912877
88	0.007591542628
89	0.007431084857
90	0.007252907243
91	0.007146692197
92	0.007010981175
93	0.006870786294
94	0.006722266882
95	0.006585605255
96	0.00648560823
97	0.006375548062
98	0.006257201833
99	0.00603063944
100	0.005736435699
101	0.005659638054
102	0.005558781006
103	0.005479481537
104	0.005359077204
105	0.005208434052
106	0.005124578405
107	0.005044597258
108	0.004968153156
109	0.004901482317
110	0.004806250735
111	0.004749680171
112	0.004633643728
113	0.004537516192
114	0.004472329884
115	0.004375403154
116	0.004302762127
117	0.004258588312
118	0.004203664043
119	0.004134783591
120	0.004077537922
121	0.004015913045
122	0.003948215387
123	0.003841097251
124	0.003790438288
125	0.003734898286
126	0.003659356545
127	0.003600880232
128	0.003553642042
129	0.003515855757
130	0.003435371968
131	0.003351837744
132	0.003329474307
133	0.003307853755
134	0.003209608072
135	0.003164723165
136	0.003121259311
137	0.003063605592
138	0.002954392445
139	0.002909741027
140	0.002884273861
141	0.002847718449
142	0.002798280441
143	0.002766940537
144	0.002729215392
145	0.002704420052
146	0.002667146891
147	0.002606866465
148	0.002582256709
149	0.002536427998
150	0.00250240866
151	0.002461922623
152	0.002382598115
153	0.002358503908
154	0.002327176449
155	0.002306804521
156	0.002280092071
157	0.002257906283
158	0.002223919977
159	0.002195042241
160	0.002174602027
161	0.002164387949
162	0.002129140545
163	0.00212914582
164	0.002107244354
165	0.002085703023
166	0.002058236979
167	0.002016111434
168	0.001984963258
169	0.001966110601
170	0.001948740974
171	0.001923473391
172	0.001923473391
173	0.00192343984
174	0.00192343984
175	0.00192343984
176	0.00192343984
177	0.00192343984
178	0.00192343984
179	0.00192343984
180	0.00192343984
181	0.00192343984
182	0.00192343984
183	0.001910810681
184	0.001893700074
185	0.001868062787
186	0.001849579625
187	0.001835191033
188	0.001818525994
189	0.001818525994
190	0.001818525994
191	0.001818525994
192	0.00179459484
193	0.001737680394
194	0.001737638725
195	0.001737638042
196	0.001737625694
197	0.001737603899
198	0.001737604511
199	0.001737604511
200	0.001737604511
201	0.001737604511
202	0.001715755129
203	0.001715755129
204	0.001697662339
205	0.00169767397
206	0.001697657471
207	0.001697632008
208	0.001697664645
209	0.001697664645
210	0.001697664645
211	0.001697664645
212	0.001697638213
213	0.001697645827
214	0.001697666247
215	0.001697641752
216	0.001697637152
217	0.001697637152
218	0.001697645798
219	0.001697623085
220	0.001697615362
221	0.001697612352
222	0.001697595437
223	0.001697586284
224	0.001697617643
225	0.001697573089
226	0.001697564922
227	0.001697539303
228	0.001697553349
229	0.001697553375
230	0.001697565194
231	0.0016975328
232	0.001697536469
233	0.001697519186
234	0.001697507089
235	0.001697507089
236	0.001697507089
237	0.001697507089
238	0.001697501224
239	0.001697499345
240	0.001697497739
241	0.001697502272
242	0.00169745841
243	0.001697494746
244	0.001697488574
245	0.001697488574
246	0.001697498695
247	0.001697484393
248	0.001697486029
249	0.001697463865
250	0.001697447324
251	0.00169746093
252	0.001697443194
253	0.001697449873
